Tahun,Brand,Model,EngineSize,Jarak,Transmisi,Harga
2015,Toyota,Avanza,1.3,100426,Manual,117300000
2015,Toyota,Avanza,1.3,92867,Manual,140100000
2015,Toyota,Avanza,1.3,95000,Manual,144500000
2015,Toyota,Avanza,1.3,105000,Automatic,141000000
2015,Toyota,Avanza,1.3,88000,Manual,108000000
2015,Toyota,Avanza,1.3,105000,Manual,121000000
2015,Toyota,Avanza,1.3,93000,Manual,137000000
2015,Toyota,Avanza,1.3,70000,Automatic,121000000
2015,Toyota,Avanza,1.3,95000,Automatic,140000000
2015,Toyota,Avanza,1.3,95000,Manual,142000000
2015,Toyota,Avanza,1.3,110000,Manual,115000000
2015,Toyota,Avanza,1.3,150000,Manual,122000000
2015,Toyota,Avanza,1.3,87000,Manual,143000000
2016,Toyota,Avanza,1.3,82421,Automatic,149000000
2016,Toyota,Avanza,1.3,77434,Automatic,143000000
2016,Toyota,Avanza,1.3,95200,Automatic,142000000
2016,Toyota,Avanza,1.3,33600,Manual,138000000
2016,Toyota,Avanza,1.3,89600,Automatic,136000000
2016,Toyota,Avanza,1.3,90000,Manual,135000000
2016,Toyota,Avanza,1.3,7698,Manual,132000000
2016,Toyota,Avanza,1.3,60000,Automatic,131000000
2016,Toyota,Avanza,1.3,30000,Manual,128000000
2016,Toyota,Avanza,1.3,28421,Automatic,127000000
2016,Toyota,Avanza,1.3,72800,Manual,125000000
2016,Toyota,Avanza,1.3,60000,Manual,118000000
2016,Toyota,Avanza,1.3,84000,Automatic,118000000
2016,Toyota,Avanza,1.3,33482,Manual,140925000
2016,Toyota,Avanza,1.3,36661,Manual,141100000
2016,Toyota,Avanza,1.3,8948,Automatic,153700000
2016,Toyota,Avanza,1.3,70432,Automatic,150350000
2016,Toyota,Avanza,1.3,75000,Automatic,155000000
2016,Toyota,Avanza,1.3,65000,Manual,130000000
2016,Toyota,Avanza,1.3,40000,Manual,145500000
2016,Toyota,Avanza,1.3,90000,Automatic,158500000
2016,Toyota,Avanza,1.3,125000,Automatic,137500000
2017,Toyota,Avanza,1.3,89600,Automatic,160000000
2017,Toyota,Avanza,1.3,71758,Automatic,149000000
2017,Toyota,Avanza,1.3,86847,Manual,146000000
2017,Toyota,Avanza,1.3,84000,Automatic,142000000
2017,Toyota,Avanza,1.3,86125,Automatic,141000000
2017,Toyota,Avanza,1.3,156800,Manual,141000000
2017,Toyota,Avanza,1.3,100800,Manual,139000000
2017,Toyota,Avanza,1.3,78400,Manual,138000000
2017,Toyota,Avanza,1.3,72800,Manual,135000000
2017,Toyota,Avanza,1.3,100800,Automatic,134000000
2017,Toyota,Avanza,1.3,151200,Manual,133000000
2017,Toyota,Avanza,1.3,100800,Automatic,132000000
